,Beta,Avg_Return,Volatility,Max_Drawdown
count,34.0,34.0,34.0,34.0
mean,1.001893883620082,0.0034293544575252828,0.047692428523227574,-0.2083908927047388
std,0.9867410152136757,0.012458188342645922,0.020335960348324404,0.09707213480162742
min,-1.4573677158558518,-0.016846721346141565,0.018115131920065825,-0.41628696667022913
25%,0.4233124226445394,-0.0018018083422595178,0.031681348719217246,-0.2717366924482393
50%,0.9841187209109059,0.0012206879308058415,0.04298380859933462,-0.18109297172440095
75%,1.5410014162553263,0.007509129664834415,0.05703863709308652,-0.13765663001420486
max,2.8092555356359035,0.051723667944823554,0.09985311694200612,-0.06467897345469503
