,Avg_Return,Avg_Return,Avg_Return,Avg_Return,Volatility,Volatility,Volatility,Volatility,Max_Drawdown,Max_Drawdown,Max_Drawdown,Max_Drawdown,Beta,Beta,Beta,Beta
,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count
Beta_Group,,,,,,,,,,,,,,,,
High Beta,0.006028574779185253,0.002686944401611111,0.016041553928294098,17,0.05888068774746363,0.05059342682153507,0.020007545568013287,17,-0.252321176741041,-0.2589725889432066,0.08494405332958525,17,1.762877762266842,1.560956822886276,0.5017530457290491,17
Low Beta,0.0008301341358653122,2.089255919930366e-06,0.006958841773598932,17,0.03650416929899151,0.03166802481682871,0.013661852368206193,17,-0.1644606086684366,-0.13985316283182175,0.09010255562721937,17,0.24091000497332193,0.3880643581408829,0.7251435531602993,17
